,C5NP,C5IP,C5N,C6NP,C6IP,C6N,C6A,C7NP,C7IP,C7N,C7A,C8NP,C8IP,C8N,C8A,C9NP,C9IP,C9N,C9A,C10NP,C10IP,C10N,C10A
PCH,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.4000273933709513,0.0,0.0,0.0,0,0.0
PRBENZEN,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.06045516887448691,0.0,0.0,0,0.0
135MBENZ,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.25962226249433806,0.0,0.0,0,0.0
1M2EBNZN,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.3836923878116925,0.0,0.0,0,0.0
123MBENZ,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.28205684924768665,0.0,0.0,0,0.0
24DMOCT,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.16816352997573725,0,0.0
TEMH,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.24951271547136397,0,0.0
3MN,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5823237545528988,0,0.0
TBCYHXAN,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0
DECANE,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.8385719917599146,0.0,0,0.0
ODEBZ,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.9350993240834845
UNDECANE,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.15860047547034314,0.0,0,0.0
PNBZ,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.05436472356496387
DODECANE,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.002827532769742106,0.0,0,0.0
HXBNZN,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.010535952351551648
TRIDECAN,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
